"gene","module","MM","GS","absMM","absGS"
"KIAA1211","blue",0.884841993584041,-0.783844595855484,0.884841993584041,0.783844595855484
"MCTP2","blue",0.884610730356244,-0.641476674451729,0.884610730356244,0.641476674451729
"BEST2","blue",0.88459411895818,-0.688972657990484,0.88459411895818,0.688972657990484
"KLK1","blue",0.883931796365445,-0.616399789409977,0.883931796365445,0.616399789409977
"SPIB","blue",0.883848804517685,-0.807132876768149,0.883848804517685,0.807132876768149
"GRAMD3","blue",0.883826846079215,-0.742805842036256,0.883826846079215,0.742805842036256
"C17orf110","blue",0.883560765070196,-0.664850886200305,0.883560765070196,0.664850886200305
"NEDD4L","blue",0.883506196241781,-0.674622568097096,0.883506196241781,0.674622568097096
"SYTL2","blue",0.882837560110172,-0.681576341672693,0.882837560110172,0.681576341672693
"LGALS3","blue",0.882445990468084,-0.623182976592058,0.882445990468084,0.623182976592058
"ENDOD1","blue",0.882146610593468,-0.729625641428592,0.882146610593468,0.729625641428592
"WSCD1","blue",0.882080743069204,-0.773594190126074,0.882080743069204,0.773594190126074
"GPR15","blue",0.881629436034983,-0.781291373302517,0.881629436034983,0.781291373302517
"NAT1","blue",0.881626531878666,-0.680992291741072,0.881626531878666,0.680992291741072
"ACVRL1","blue",0.881046160818008,-0.812903464138295,0.881046160818008,0.812903464138295
"IL10RB","blue",0.880950133945967,-0.648286597105291,0.880950133945967,0.648286597105291
"DNM2","blue",0.880551684473461,-0.655612633289475,0.880551684473461,0.655612633289475
"CLIC5","blue",0.879878031549644,-0.682993568142079,0.879878031549644,0.682993568142079
"GPRIN2","blue",0.879707917796125,-0.621936697648372,0.879707917796125,0.621936697648372
"CHST5","blue",0.879658807719408,-0.716478135755749,0.879658807719408,0.716478135755749
"HAPLN1","blue",0.879595605187581,-0.789322836447938,0.879595605187581,0.789322836447938
"IL1R2","blue",0.879205444403355,-0.707252732018277,0.879205444403355,0.707252732018277
"MMP28","blue",0.879156901626285,-0.76419242330063,0.879156901626285,0.76419242330063
"MYO1A","blue",0.878854976702818,-0.591987412770275,0.878854976702818,0.591987412770275
"ATP8A1","blue",0.878638617534873,-0.68825963664219,0.878638617534873,0.68825963664219
"PLAC8","blue",0.878538959514769,-0.716657736025095,0.878538959514769,0.716657736025095
"ATOH1","blue",0.878393475282474,-0.648019670909739,0.878393475282474,0.648019670909739
"GCG","blue",0.878316802069495,-0.745349476551903,0.878316802069495,0.745349476551903
