"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0032652","regulation of interleukin-1 production",78,0.492359023163638,1.70211757466527,0.00334108527496609,0.0348652075164109,0.0286578227687107,1593,"tags=26%, list=13%, signal=22%","5004/335/5005/6288/54209/6348/8877/8767/2149/1903/11006/3146/3569/84868/64581/9971/64127/2950/3066/24145"
"MF","GO:0016757","glycosyltransferase activity",188,-0.388150543013652,-1.49964882654511,0.00333385945406903,0.0348652075164109,0.0286578227687107,1721,"tags=22%, list=14%, signal=19%","2589/64761/84002/5834/11227/4248/2528/10331/8702/27090/53947/83857/7368/57704/83468/11320/2524/51548/2651/2525/374907/8705/51809/283358/26290/6484/28/8708/7367/79695/80235/79799/30815/54576/55808/10317/9245/54575/124872/192134/93010"
"BP","GO:0007009","plasma membrane organization",108,-0.443590465123373,-1.5863821883884,0.00338178989902325,0.0352381514294699,0.028964367927178,3119,"tags=49%, list=26%, signal=37%","79065/26509/93099/85377/4905/23208/10397/123720/5728/928/25978/51510/55113/5119/55909/1201/8826/91782/27243/51411/5864/51652/6281/64801/79643/51100/27035/79152/30846/53947/57132/5580/57088/2350/94121/1785/9525/8976/6609/11252/287/203859/79026/80115/81035/288/727910/23136/840/857/5205/2934/50636"
"BP","GO:0072577","endothelial cell apoptotic process",46,0.5591693806016,1.75554279098488,0.00339328973238744,0.0352544420805582,0.0289777581985957,431,"tags=13%, list=4%, signal=13%","2266/2243/2244/5054/51129/3383"
"BP","GO:0007127","meiosis I",57,0.519588599374266,1.71784085424953,0.00339225825117084,0.0352544420805582,0.0289777581985957,2613,"tags=46%, list=22%, signal=36%","9319/1164/994/6790/5347/7153/9232/25788/84057/10635/57820/8438/26271/9134/9700/898/4439/9133/29893/11130/2177/10919/146956/5889/10403/5885"
"BP","GO:0072525","pyridine-containing compound biosynthetic process",20,0.697692229391147,1.86354617071553,0.00341876738261229,0.0352610077718267,0.0289831549373542,1216,"tags=45%, list=10%, signal=40%","4837/29968/8942/23498/10135/55163/125061/23475/5740"
"CC","GO:0032420","stereocilium",30,-0.604984853686252,-1.73513146331643,0.00341294736082614,0.0352610077718267,0.0289831549373542,1801,"tags=43%, list=15%, signal=37%","5048/83715/11078/2059/10518/286262/4641/112/389/8556/5357/5205/53405"
"MF","GO:0003684","damaged DNA binding",66,0.500708145581717,1.68066179754483,0.00341457573966538,0.0352610077718267,0.0289831549373542,2888,"tags=47%, list=24%, signal=36%","9401/2237/4913/3146/5111/6119/5423/2956/672/4436/5887/328/2189/56852/10721/5810/641/5886/7515/55247/64858/5424/3148/6188/4350/8450/25913/7520/142/4683/9937"
"CC","GO:0015935","small ribosomal subunit",69,0.4917649252529,1.67146849388733,0.00340710402032257,0.0352610077718267,0.0289831549373542,3660,"tags=55%, list=31%, signal=38%","51373/6227/51649/6201/6187/113251/6222/6223/64949/83939/7818/64960/28957/6210/6204/6183/10240/6224/64951/55173/28977/6188/6191/6209/6233/28973/6206/6193/6194/6217/55037/6229/6230/6207/51116/54460/60488/6232"
"BP","GO:0035725","sodium ion transmembrane transport",91,-0.474909685033679,-1.66392865613905,0.00341203846699305,0.0352610077718267,0.0289831549373542,946,"tags=29%, list=8%, signal=27%","817/6534/6335/483/6330/11261/130497/6536/6332/9058/23327/288/6535/54795/477/6548/26504/6337/10050/6549/5349/340024/6550/406967/8671/6338"
"BP","GO:0046488","phosphatidylinositol metabolic process",125,-0.432582336985799,-1.59221442239729,0.00342921318335266,0.0353174118273882,0.0290295168420397,3287,"tags=42%, list=28%, signal=31%","9488/22863/375133/5298/5331/5293/3628/66036/22876/5287/23396/5728/9896/8867/8678/9600/5297/22908/5154/3631/79837/54344/8897/54893/5289/54872/79143/253430/5294/23556/10380/3632/51447/93210/5336/57217/51763/3612/10903/65258/3613/27124/4534/1040/660/83394/388121/8395/51196/5333/80235/3706/80157"
"MF","GO:0015399","primary active transmembrane transporter activity",118,-0.433853667580205,-1.58563805966261,0.00344745367900879,0.0354538134873136,0.0291416336161521,3083,"tags=46%, list=26%, signal=34%","284613/1340/4695/481/4729/1349/4724/4714/4713/4720/4717/4704/5825/1327/4716/21/10057/374291/10257/11068/4694/4705/4723/1329/476/4722/4707/4700/4698/10928/1351/7386/5826/1080/9377/9619/29796/7384/8714/1346/51382/490/9114/245972/9914/84239/23461/5243/477/10351/79901/10396/9429/489"
"BP","GO:0036297","interstrand cross-link repair",30,0.61777085449481,1.79237624986399,0.00347020464700478,0.0355332931820288,0.0292069627843146,3573,"tags=70%, list=30%, signal=49%","55215/10635/2175/55159/84515/2177/2189/545/7415/55247/64858/64710/9025/9937/5888/55120/2188/2178/2176/165918/5892"
"BP","GO:0045833","negative regulation of lipid metabolic process",75,0.484149686648086,1.66832254834262,0.00346499844489069,0.0355332931820288,0.0292069627843146,1203,"tags=29%, list=10%, signal=27%","336/345/344/341/57761/348/54658/54578/5629/3638/6615/150094/83643/8877/6662/3553/10196/84879/84310/1024/5155/1594"
"MF","GO:0043022","ribosome binding",94,0.456384838992422,1.61256494583311,0.00346828507060995,0.0355332931820288,0.0292069627843146,3702,"tags=52%, list=31%, signal=36%","4830/283/4869/7866/27000/6059/10196/8260/51068/54915/29789/115416/56648/3692/80155/10146/25929/23480/22927/5292/90850/83939/23367/3309/219402/56919/1660/10430/79612/8663/1965/1984/28985/2107/53918/2332/6731/283820/26135/5935/10952/408050/55037/23420/56926/23/708/11052/29927"
"BP","GO:0010975","regulation of neuron projection development",299,-0.353876541340834,-1.44787864465207,0.00350762306153247,0.0358646876723839,0.0294793559592771,1762,"tags=23%, list=15%, signal=20%","5048/83999/7436/7474/23242/5780/2896/818/65009/4504/6387/5802/10090/5906/322/2580/22906/10519/4915/3897/8850/2043/153090/10677/27020/5663/5792/1946/27124/5362/112/5753/8321/3675/567/4921/5997/5376/7504/2672/2260/1136/2281/56920/79625/154141/9423/2185/23303/4756/23327/9760/4058/653/257194/1902/129807/80031/5764/3706/9912/56963/6422/11075/9314/81618/6423/406992"
"MF","GO:0099095","ligand-gated monoatomic anion channel activity",18,-0.707585731775803,-1.80124049000126,0.00356510187485816,0.036399946624451,0.0299193176654132,867,"tags=39%, list=7%, signal=36%","55129/203859/50636/54831/266675/1179/22802"
"BP","GO:0070542","response to fatty acid",48,0.546906152750355,1.73527231227585,0.00361585818515756,0.0368651288532731,0.0303016790743467,880,"tags=25%, list=7%, signal=23%","9076/1373/84649/6319/1645/2180/3651/2731/6662/3949/1019/7097"
"BP","GO:0030510","regulation of BMP signaling pathway",74,-0.481998775663157,-1.62514740616657,0.00362754454283761,0.036931213882318,0.0303559983566612,961,"tags=22%, list=8%, signal=20%","4092/8321/3675/26585/4756/4681/3209/857/25928/64388/56963/6422/94/91851/6423/406992"
"BP","GO:0019722","calcium-mediated signaling",156,-0.410498383568365,-1.55920242027554,0.00365091849743877,0.0371159278765408,0.0305078259603502,2455,"tags=41%, list=21%, signal=33%","4776/729230/5026/5530/1193/84174/3708/9034/6444/27040/79041/10663/51643/695/808/5532/53373/3479/1827/683/805/55607/7535/9451/801/5164/127262/1910/10519/5336/767/374403/5598/916/90550/817/168620/8445/933/287/55784/11261/9495/2281/2826/845/2494/1907/5023/54795/477/11251/5025/6548/5156/55273/8989/255231/257194/2946/10231/51196/5350/63928"
"BP","GO:1901019","regulation of calcium ion transmembrane transporter activity",40,-0.558267018571319,-1.70266531688453,0.00365741479369756,0.037128777362057,0.0305183877296561,1862,"tags=42%, list=16%, signal=36%","805/6786/801/783/817/57158/287/2281/79026/845/150/477/6548/3306/6717/2946/5350"
"BP","GO:0046889","positive regulation of lipid biosynthetic process",62,0.530094123139996,1.76603671495093,0.003697304948455,0.0374266418177414,0.0307632205411655,1504,"tags=26%, list=13%, signal=23%","344/9104/51085/348/60481/83643/2170/3949/3553/949/84879/9926/9572/9971/157506/58526"
"BP","GO:0070252","actin-mediated cell contraction",66,-0.510443496510152,-1.70052012196772,0.00369676315310793,0.0374266418177414,0.0307632205411655,1527,"tags=35%, list=13%, signal=31%","440193/4637/7168/1829/783/5318/10142/817/6335/287/6330/5144/6332/23327/1824/54795/477/6548/6717/23171/857/5350/2934"
"MF","GO:0016758","hexosyltransferase activity",138,-0.421480679890571,-1.57413135818573,0.00378247963090418,0.0382342955283419,0.0314270799742691,1721,"tags=25%, list=14%, signal=21%","2589/84002/5834/11227/4248/2528/10331/8702/53947/83857/7368/57704/11320/2524/2651/2525/374907/8705/51809/283358/26290/28/8708/7367/79695/80235/79799/54576/10317/9245/54575/124872/192134/93010"
"BP","GO:0044321","response to leptin",16,0.71660730684857,1.82333303014386,0.00379253611348655,0.0382814171568998,0.0314658120907823,1275,"tags=38%, list=11%, signal=34%","2244/3625/3953/595/890/9572"
