"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"MAN2C1",0.0237764694646696,4.16813517658207,0.187729908652559,0.851788641057762,0.95451189381196,-6.66141790821458,"MAN2C1","NS"
"05-Sep",0.0344863404506452,1.74506432758909,0.187428710723866,0.852023611053576,0.954525258781556,-6.66147451968391,"05-Sep","NS"
"AXIN1",0.0230094242741217,3.88479648799535,0.187427942447165,0.85202421041751,0.954525258781556,-6.6614746639688,"AXIN1","NS"
"LMNB1",-0.0389843583645861,4.18460964411011,-0.187413033592591,0.852035841439344,0.954525258781556,-6.66147746378383,"LMNB1","NS"
"CCDC125",0.0258570943551595,2.33655696815174,0.187305446029477,0.852119775983501,0.954525258781556,-6.66149766164439,"CCDC125","NS"
"HSPA5",0.0258922558714172,6.91089920485537,0.187256775712893,0.852157746744887,0.954525258781556,-6.66150679492011,"HSPA5","NS"
"POFUT2",-0.0202626167373072,2.97180517629155,-0.18711174948979,0.852270892870185,0.95455657253902,-6.66153399590224,"POFUT2","NS"
"CLDN4",-0.0720725900417705,8.4360521605474,-0.186938822275245,0.852405810791984,0.95455657253902,-6.66156640245772,"CLDN4","NS"
"HIST1H4K",-0.0321214172708122,2.18460409407007,-0.186826724400706,0.852493271996066,0.95455657253902,-6.66158739361004,"HIST1H4K","NS"
"IFI44L",-0.040232237766791,1.1481859058286,-0.186814956031803,0.852502454042042,0.95455657253902,-6.66158959659441,"IFI44L","NS"
"C1orf212",0.0184771045535568,2.89906934939539,0.186763126835491,0.852542893031033,0.95455657253902,-6.66159929713157,"C1orf212","NS"
"PDLIM2",-0.0331563733247013,3.41172743818119,-0.186448283408661,0.852788553667818,0.954749559633923,-6.66165816658721,"PDLIM2","NS"
"EVI5",0.0128960260423463,1.65978986113588,0.186359077060701,0.8528581607387,0.954749559633923,-6.66167482836455,"EVI5","NS"
"ARFRP1",-0.0204368677063673,4.11475111502583,-0.185890313020883,0.853223953285757,0.95507903692756,-6.66176225227236,"ARFRP1","NS"
"DDX46",0.0197148983518272,3.57851099075732,0.185626236264435,0.853430035665038,0.955229698153479,-6.66181140542527,"DDX46","NS"
"EDC4",-0.0155596245228886,3.87104045541434,-0.185326532293213,0.853663933557128,0.955323732838231,-6.6618671054007,"EDC4","NS"
"NFATC1",-0.0300155549303562,1.23895375283714,-0.185323398649272,0.853666379215938,0.955323732838231,-6.66186768731351,"NFATC1","NS"
