"gene","HR","z","p","lower","upper"
"AQP8",0.91982835398353,-1.29843095086798,0.194139289267963,0.810816702558923,1.04349626508904
"PPP1R14D",0.910742779812067,-1.29453477491778,0.195480765559511,0.790532410929348,1.04923264310531
"TMIGD1",0.8687468739513,-1.29364761524881,0.195787167458354,0.701960034124294,1.07516253676989
"C11orf86",0.887302799678996,-1.29034294642872,0.196931611895582,0.739938609547621,1.06401564691904
"GCNT3",1.09206806888479,1.28493298011189,0.198815704926319,0.954785400287525,1.24908976060863
"GBP3",0.891371597121815,-1.27513572923623,0.202261204988194,0.746957696286351,1.06370592083826
"BTNL8",0.880296097827141,-1.25751404447324,0.208567556672988,0.721650760884832,1.07381750543648
"PPP1R36",0.776127479005577,-1.25712737214428,0.208707516944634,0.52279296404599,1.15222259114903
"DHDDS",0.716974447194886,-1.25560295626822,0.209259959012872,0.426529062282764,1.20519890292874
"DSC2",0.82989556861442,-1.24854174903608,0.211832729352598,0.619307367259266,1.11209181614261
"GPD1L",0.787564997399096,-1.24141762552198,0.214451511295922,0.540184636232435,1.14823448044411
"AKR1B10",0.923742044347896,-1.23603339486984,0.216446150691337,0.81456335526227,1.04755432340961
"SLC44A4",0.897090563285813,-1.22954511784282,0.218867492609307,0.754492075003531,1.06664006872795
"PDE8A",0.734412769602085,-1.22949029505418,0.218888034324598,0.448985039499559,1.2012919556424
"SLC22A23",1.26686943464868,1.22939537704306,0.218923602713176,0.868863512168599,1.84719250143358
"CANT1",0.803902395792584,-1.22196063784813,0.221722512603511,0.566440341273721,1.14091284619286
"PEX26",0.697779053656821,-1.21901666249266,0.222837868318903,0.391240582176988,1.24449157347882
"IVNS1ABP",1.27074190793784,1.21737883210305,0.223460113089691,0.864025135648861,1.86890974575277
"GPA33",0.907031389453262,-1.21283740497509,0.225191991308114,0.774710293055886,1.0619530278968
"TMEM72",0.726619391387005,-1.20939560074807,0.226510897966795,0.433051031820574,1.2191998197533
"PLA2G10",0.88299043198053,-1.20880887100087,0.226736282698985,0.721653952979454,1.08039608146006
"PLS1",0.834575750018385,-1.2077649593694,0.22713768338853,0.622329235295454,1.11920932364374
"VPS4B",0.794760981815762,-1.19177394473094,0.23334989481422,0.544713131189616,1.15959205322861
"GPBP1L1",0.704181337733423,-1.18593668948585,0.235647302618685,0.394418262801465,1.25722209942808
"TTC22",0.808372425847929,-1.17856893780613,0.238569866536577,0.567504225399976,1.15147332764034
"ABHD3",0.825525863879949,-1.17275129159401,0.240895556102793,0.599192819013581,1.13735166762619
"GPRIN2",1.15494318251159,1.17169148606345,0.241320942481032,0.907635413878813,1.46963608342424
"BBIP1",0.622114927551421,-1.16865046449677,0.242544487299515,0.28065156224346,1.37903021094382
"BCAS1",0.890645626237144,-1.16787658136882,0.242856551735369,0.733328098788197,1.08171176427874
"FABP2",0.906284135878923,-1.16317593480724,0.244758128301541,0.767811113979189,1.06973045843156
"PHGR1",0.934381778167063,-1.15692390675681,0.247303450392264,0.832892958588047,1.04823710942485
"MARVELD3",1.32741250824879,1.13622110251714,0.255864040908146,0.814371570118931,2.16366095245446
"TLCD2",1.22184425596905,1.11991466994897,0.262750126225378,0.860457267790989,1.73501165220817
"BCL2L15",0.882085794656738,-1.11805212100064,0.263544733497302,0.707930139759011,1.09908493145959
"SLC35A3",0.823741724627294,-1.11759763172253,0.263738880718847,0.586288488293881,1.1573661131682
"PTGDR2",0.756776710902071,-1.11503559194352,0.264835169955377,0.463684130006,1.2351317483226
"MOB3B",0.821213420644814,-1.11478814459919,0.264941217997624,0.580840622928736,1.16106115107224
"GGT6",0.920650320264504,-1.11055679916186,0.266759166780041,0.795659633797718,1.06527587450618
"ITM2C",0.904053682912903,-1.10937729794916,0.26726745170353,0.756487013918236,1.08040593764472
"ENTPD5",0.868081427578035,-1.10173602863475,0.270576448795794,0.674933356938118,1.11650336608717
"ISX",0.918452541625848,-1.09204205233964,0.274814617859491,0.788409849786347,1.06994486617281
