"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"POLR3D",0.156026991108521,2.74171862941746,1.3881810224975,0.170755229644554,0.244207575565721,-5.89211604460706,"POLR3D","NS"
"PEX7",0.194903049130122,2.9335023838295,1.3859824248625,0.171421982586439,0.245120129368539,-5.89508106280075,"PEX7","NS"
"CLN5",-0.138718954064343,3.59699117207919,-1.3859482792378,0.171432353460513,0.245120129368539,-5.8951270769298,"CLN5","NS"
"P4HA2",-0.223599597154377,4.33551440092782,-1.38587725475766,0.171453926905151,0.245120129368539,-5.8952227850682,"P4HA2","NS"
"EPHX1",0.412818852727342,4.91146228005744,1.38583525452124,0.171466685317148,0.245120129368539,-5.89527937980648,"EPHX1","NS"
"QRICH1",-0.0912085603781914,3.93844938018995,-1.38543788834416,0.17158742939321,0.245266498882335,-5.89581474623015,"QRICH1","NS"
"ABCA7",-0.200913458324378,1.86096894284695,-1.38468886183078,0.171815207171788,0.245565814336232,-5.89682351156137,"ABCA7","NS"
"LOC728190",0.153382009533464,3.37954470063031,1.38445212846449,0.171887245763189,0.245629626928257,-5.89714223098645,"LOC728190","NS"
"RBBP4",0.142499202048159,3.44468398884599,1.38438071371985,0.171908982019911,0.245629626928257,-5.89723836829349,"RBBP4","NS"
"CLEC16A",-0.108950382141821,2.52985348266879,-1.38436093270957,0.171915003070877,0.245629626928257,-5.89726499633445,"CLEC16A","NS"
"COX15",-0.134050556170462,2.78100171689596,-1.38398994409649,0.172027956641246,0.245764733950639,-5.89776433392144,"COX15","NS"
"CLEC11A",0.321941191963613,3.25456188630643,1.38379465591892,0.172087438255878,0.245823428477126,-5.89802713486131,"CLEC11A","NS"
"ZCCHC4",0.135780069297265,1.70846180901641,1.38362573897544,0.172138900375229,0.245870655992924,-5.8982544199611,"ZCCHC4","NS"
"CSGALNACT1",0.261049140343185,1.39597263588329,1.38316734756619,0.172278613216391,0.246043910837689,-5.89887107537989,"CSGALNACT1","NS"
"HMGCL",-0.267308708850479,4.94350586890647,-1.38281114165169,0.172387241188353,0.246172738779393,-5.89935013342312,"HMGCL","NS"
"DDB2",0.197501131320197,2.86961454457753,1.38240916663473,0.172509890063985,0.24632155920442,-5.89989060792526,"DDB2","NS"
"PEX6",-0.241863736518676,2.66822857478849,-1.38216053622381,0.172585784667298,0.246403595974402,-5.90022483008097,"PEX6","NS"
"ACADVL",-0.250056037434529,6.90083410791302,-1.38149523093979,0.172788995784703,0.246667367700342,-5.90111889332651,"ACADVL","NS"
"BHLHB9",0.141706375326882,0.936710965907749,1.38078913277998,0.173004867786679,0.246949155364342,-5.90206733712776,"BHLHB9","NS"
"POLE4",-0.196266741634753,4.91238157243584,-1.38063176914235,0.173053006043362,0.24699148331034,-5.90227864927249,"POLE4","NS"
"DDX3X",0.152355475431759,5.77666892173847,1.37979628972156,0.173308755405742,0.247330085414025,-5.90340017792188,"DDX3X","NS"
"LOC100130744",-0.102446384405922,1.1737549378644,-1.37910223982842,0.173521432345574,0.247607152819475,-5.90433137393565,"LOC100130744","NS"
"MCPH1",-0.147481278235105,2.18517288743562,-1.37877067013131,0.173623105609153,0.247725780795463,-5.90477608182541,"MCPH1","NS"
"TMEM71",-0.205569741376124,1.09747335797058,-1.3775253339668,0.174005386887435,0.248219444329595,-5.90644546183651,"TMEM71","NS"
